"date","iso_code","new_cases_per_million","new_cases_smoothed_per_million","cases_growth","deaths_growth","vaccine_growth","Policy_change","Restrict","Isolamento_14","Residential","Closure","stayhome_growth","stayhome_growth_7","stayhome_growth_14","total_deaths","Stay_at_home","Stay_at_home_federal","C1","C2","C6","C1_Flag","C2_Flag","C6_Flag","cases_growth_after14","Policy","cases_rolling_14","cum_negative_day","y.max","delta","Pico","nPico","Onda","Strigency_type"
2020-05-16,"ARG",4.93728571428512,4.11450000000091,6.00558230837729,-3.82890651948959,NA,0,FALSE,"Queda",20,2.625,-9.09090909090909,-4.76190476190477,-16.6666666666667,304.071428571429,TRUE,TRUE,3,2,2,1,0,1,5.9067286729928,"Sem mudanças",6.58737649809356,0,22.1456428571438,18.0311428571429,FALSE,0,"Início ao 1o pico","Medium"
2020-05-17,"ARG",5.19171428571369,4.37257142857234,5.15320737247249,0.789096126255417,NA,0,FALSE,"Queda",20,2.625,0,-4.76190476190477,-16.6666666666667,313.142857142857,TRUE,TRUE,3,2,2,1,0,1,4.44753786453707,"Sem mudanças",6.48187348255182,0,23.1007142857152,18.7281428571429,FALSE,0,"Início ao 1o pico","Medium"
2020-05-18,"ARG",5.50621428571369,4.64557142857234,6.05772934896331,-3.95017793594318,NA,0,FALSE,"Queda",18,2.625,-10,-5.26315789473685,-14.2857142857143,321.857142857143,TRUE,TRUE,3,2,2,1,0,1,2.97170321046876,"Sem mudanças",6.55882149397262,0,24.1487857142866,19.5032142857143,FALSE,0,"Início ao 1o pico","Medium"
2020-05-19,"ARG",5.98821428571369,4.95100000000091,8.75374576776984,5.70581696924803,NA,0,FALSE,"Queda",18,2.625,0,-5.26315789473685,-14.2857142857143,331.071428571429,TRUE,TRUE,3,2,2,1,0,1,5.15271753253264,"Sem mudanças",6.40448806822749,0,25.3200714285723,20.3690714285714,FALSE,0,"Início ao 1o pico","Medium"
2020-05-20,"ARG",6.44021428571369,5.28542857142948,7.5481600763412,0.771118121275882,NA,0,FALSE,"Queda",18,2.625,0,-5.26315789473685,-10,340.357142857143,TRUE,TRUE,3,2,2,1,0,1,4.99479609731079,"Sem mudanças",6.36310544892488,0,26.4722142857152,21.1867857142857,FALSE,0,"Início ao 1o pico","Medium"
2020-05-24,"ARG",9.54892857142798,7.35242857142948,8.33819572757684,1.37157107231922,NA,0,FALSE,"Queda",20,2.625,0,0,-4.76190476190477,380.785714285714,TRUE,TRUE,3,2,2,1,0,1,0.47792762447092,"Sem mudanças",6.3724028654608,0,27.6609285714295,20.3085,FALSE,0,"Início ao 1o pico","Medium"
2020-05-25,"ARG",10.0357142857137,7.99950000000091,5.09780454052469,4.08979089790908,NA,0,FALSE,"Rígido",25,2.625,25,38.8888888888889,31.5789473684211,391.714285714286,TRUE,TRUE,3,2,2,1,0,1,2.5562204033786,"Sem mudanças",5.94856967054139,0,29.0022857142866,21.0027857142857,FALSE,0,"Início ao 1o pico","Medium"
2020-05-26,"ARG",10.5335714285708,8.64885714285805,4.96085409252698,7.8286558345644,NA,0,FALSE,"Queda",17,2.625,-32,-5.55555555555556,-10.5263157894737,403.5,TRUE,TRUE,3,2,2,1,0,1,4.92169286498458,"Sem mudanças",5.88765075798106,0,30.492857142858,21.844,FALSE,0,"Início ao 1o pico","Medium"
2020-05-27,"ARG",11.1483571428565,9.32142857142948,5.83644131009731,3.64383561643844,NA,0,FALSE,"Queda",18,2.625,5.88235294117647,0,-5.26315789473685,415.714285714286,TRUE,TRUE,3,2,2,1,0,1,4.51722124469505,"Sem mudanças",5.87633566689808,0,32.2042142857152,22.8827857142857,FALSE,0,"Início ao 1o pico","Medium"
2020-05-28,"ARG",11.9607142857137,10.0005000000009,7.28678793159825,-9.35765265662192,NA,0,FALSE,"Rígido",19,2.625,5.55555555555556,-9.52380952380952,5.55555555555556,426.785714285714,TRUE,TRUE,3,2,2,1,0,1,5.11874498511484,"Sem mudanças",5.64464258665928,0,33.9587142857152,23.9582142857143,FALSE,0,"Início ao 1o pico","Medium"
2020-05-29,"ARG",12.5486428571423,10.6557142857152,4.91549716333259,5.83260425780123,NA,0,FALSE,"Queda",21,2.625,10.5263157894737,-4.54545454545454,-4.54545454545454,438.5,TRUE,TRUE,3,2,2,1,0,1,5.31927036146658,"Sem mudanças",5.10427951741689,0,35.7752857142866,25.1195714285714,FALSE,0,"Início ao 1o pico","Medium"
2020-05-30,"ARG",13.2898571428565,11.2951428571438,5.9067286729928,0.606227610912136,NA,0,FALSE,"Rígido",20,2.625,-4.76190476190477,0,0,450.285714285714,TRUE,TRUE,3,2,2,1,0,1,5.51527241076859,"Sem mudanças",4.75696174784611,0,37.6412857142866,26.3461428571428,FALSE,0,"Início ao 1o pico","Medium"
2020-05-31,"ARG",13.880928571428,11.9140000000009,4.44753786453707,0.602574637085729,NA,0,FALSE,"Rígido",20,2.625,0,0,0,462.142857142857,TRUE,TRUE,3,2,2,1,0,1,4.58055694642387,"Sem mudanças",4.19551402619569,0,39.529857142858,27.6158571428571,FALSE,0,"Início ao 1o pico","Medium"
2020-06-01,"ARG",14.293428571428,12.5222142857152,2.97170321046876,4.81894908793912,NA,0,FALSE,"Rígido",18,2.625,-10,-28,0,474.571428571429,TRUE,TRUE,3,2,2,1,0,1,4.37317963213619,"Sem mudanças",4.01397230211383,0,41.3749285714295,28.8527142857143,FALSE,0,"Início ao 1o pico","Medium"
2020-06-02,"ARG",15.029928571428,13.1645714285723,5.15271753253264,1.16883116883122,NA,0,FALSE,"Queda",17,2.625,-5.55555555555556,0,-5.55555555555556,487.142857142857,TRUE,TRUE,3,2,2,1,0,1,3.05784589327101,"Sem mudanças",4.01117507157508,0,43.1650714285723,30.0005,FALSE,0,"Início ao 1o pico","Medium"
2020-06-03,"ARG",15.7806428571423,13.8262857142866,4.99479609731079,2.28498074454433,NA,0,FALSE,"Queda",17,2.625,0,-5.55555555555556,-5.55555555555556,500,TRUE,TRUE,3,2,2,1,0,1,2.80276767244461,"Sem mudanças",3.91694506690349,0,44.9217857142866,31.0955,FALSE,0,"Início ao 1o pico","Medium"
2020-06-04,"ARG",16.2247142857137,14.4354285714295,2.8140262256201,6.65160642570295,NA,0,FALSE,"Queda",18,2.625,5.88235294117647,-5.26315789473685,-14.2857142857143,513.714285714286,TRUE,TRUE,3,2,2,1,0,1,6.31921353990323,"Sem mudanças",3.76208485644039,0,46.5805000000009,32.1450714285714,FALSE,0,"Início ao 1o pico","Medium"
2020-06-05,"ARG",16.4175714285708,14.9881428571438,1.18866279837639,3.64791715697816,NA,0,FALSE,"Queda",20,2.625,11.1111111111111,-4.76190476190477,-9.09090909090909,527.928571428571,TRUE,FALSE,3,2,2,1,0,0,7.04656638803771,"Sem mudanças",3.79092579916425,0,48.0790000000009,33.0908571428571,FALSE,0,"Início ao 1o pico","Medium"
2020-06-06,"ARG",16.8584999999994,15.4979285714295,2.68571130235036,1.99818346957314,NA,0,FALSE,"Queda",18,2.625,-10,-10,-10,542.428571428571,TRUE,FALSE,3,2,2,1,0,0,3.51266525061034,"Sem mudanças",3.76296463757681,0,49.596857142858,34.0989285714285,FALSE,0,"Início ao 1o pico","Medium"
2020-06-07,"ARG",16.9390714285708,15.9347857142866,0.47792762447092,4.4300979519146,NA,0,FALSE,"Queda",18,2.625,0,-10,-10,557.571428571429,TRUE,FALSE,3,2,2,1,0,0,4.20672708810905,"Sem mudanças",3.77246600056872,0,51.1036428571438,35.1688571428572,FALSE,0,"Início ao 1o pico","Medium"
2020-06-08,"ARG",17.3720714285708,16.3745714285723,2.5562204033786,6.60839906203379,NA,0,FALSE,"Queda",17,2.625,-5.55555555555556,-5.55555555555556,-32,573.714285714286,TRUE,FALSE,3,2,2,1,0,0,6.60292684691379,"Sem mudanças",3.87257145925925,0,52.4657142857152,36.0911428571429,FALSE,0,"Início ao 1o pico","Medium"
2020-06-09,"ARG",18.2270714285708,16.8312857142866,4.92169286498458,3.09938012397526,NA,0,FALSE,"Queda",16,2.625,-5.88235294117647,-5.88235294117647,-5.88235294117647,590.357142857143,TRUE,FALSE,3,2,2,1,0,0,5.30703568209543,"Sem mudanças",3.72293777074056,0,53.7869285714295,36.9556428571429,FALSE,0,"Início ao 1o pico","Medium"
2020-06-10,"ARG",19.050428571428,17.2984285714295,4.51722124469505,0.853374709076804,NA,0,FALSE,"Queda",16,2.625,0,-5.88235294117647,-11.1111111111111,607.142857142857,TRUE,FALSE,3,2,2,1,0,0,6.3365347629339,"Sem mudanças",3.56636431182155,0,55.036357142858,37.7379285714285,FALSE,0,"Início ao 1o pico","Medium"
2020-06-11,"ARG",20.0255714285708,17.8414285714295,5.11874498511484,9.36538461538474,NA,0,FALSE,"Queda",17,2.625,6.25,-5.55555555555556,-10.5263157894737,625.5,TRUE,FALSE,3,2,2,1,0,0,5.11218473787585,"Sem mudanças",3.81673483427034,0,56.3470000000009,38.5055714285714,FALSE,0,"Início ao 1o pico","Medium"
2020-06-12,"ARG",21.0907857142851,18.5090714285723,5.31927036146658,3.11236152628807,NA,0,FALSE,"Queda",18,2.625,5.88235294117647,-10,-14.2857142857143,644.428571428571,TRUE,FALSE,3,2,2,1,0,0,5.96011574649653,"Sem mudanças",4.23515651924615,0,57.5890000000009,39.0799285714286,FALSE,0,"Início ao 1o pico","Medium"
2020-06-13,"ARG",22.2539999999994,19.279857142858,5.51527241076859,8.30491132332889,NA,0,FALSE,"Queda",17,2.625,-5.55555555555556,-5.55555555555556,-15,664.928571428571,TRUE,FALSE,3,2,2,1,0,0,3.27316629398815,"Sem mudanças",4.29422465840758,0,58.8517857142866,39.5719285714286,FALSE,0,"Início ao 1o pico","Medium"
2020-06-14,"ARG",23.2733571428566,20.1847857142866,4.58055694642387,2.44056054164701,NA,0,FALSE,"Queda",17,2.625,0,-5.55555555555556,-15,685.928571428571,TRUE,FALSE,3,2,2,1,0,0,3.30444203683646,"Sem mudanças",4.56056747723887,0,60.0265000000009,39.8417142857143,FALSE,0,"Início ao 1o pico","Medium"
2020-06-15,"ARG",24.2911428571423,21.1732142857152,4.37317963213619,1.36796802951122,NA,0,FALSE,"Rígido",23,2.625,35.2941176470588,35.2941176470588,27.7777777777778,707.214285714286,TRUE,FALSE,3,2,2,1,0,0,3.97447892343521,"Sem mudanças",4.84961793749139,0,61.2639285714295,40.0907142857143,FALSE,0,"Início ao 1o pico","Medium"
2020-06-16,"ARG",25.033928571428,22.1456428571438,3.05784589327101,3.68460955269145,NA,0,FALSE,"Queda",15,2.625,-34.7826086956522,-6.25,-11.7647058823529,729.285714285714,TRUE,FALSE,3,2,2,1,0,0,3.01193091322156,"Sem mudanças",4.87714242442788,0,62.6540000000009,40.5083571428571,FALSE,0,"Início ao 1o pico","Medium"
2020-06-17,"ARG",25.7355714285708,23.1007142857152,2.80276767244461,6.78560982743501,NA,0,FALSE,"Queda",16,2.625,6.66666666666667,0,-5.88235294117647,752.857142857143,TRUE,FALSE,3,2,2,1,0,0,4.19487281748014,"Sem mudanças",5.00709339001637,0,64.1825000000009,41.0817857142857,FALSE,0,"Início ao 1o pico","Medium"
