"date","Estado","Sigla","C6_Flag","name","Measure"
2020-01-13,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-13,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-14,"Acre","AC",NA,"Sem medida",1
2020-01-14,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-14,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-14,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-14,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-15,"Acre","AC",NA,"Sem medida",1
2020-01-15,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-15,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-15,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-15,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-16,"Acre","AC",NA,"Sem medida",1
2020-01-16,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-16,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-16,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-16,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-17,"Acre","AC",NA,"Sem medida",1
2020-01-17,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-17,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-17,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-17,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-18,"Acre","AC",NA,"Sem medida",1
2020-01-18,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-18,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-18,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-18,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-19,"Acre","AC",NA,"Sem medida",1
2020-01-19,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-19,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-19,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-19,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-20,"Acre","AC",NA,"Sem medida",1
2020-01-20,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-20,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-20,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-20,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-21,"Acre","AC",NA,"Sem medida",1
2020-01-21,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-21,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-21,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-21,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-22,"Acre","AC",NA,"Sem medida",1
2020-01-22,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-22,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-22,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-22,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-23,"Acre","AC",NA,"Sem medida",1
2020-01-23,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-23,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-23,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-23,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-24,"Acre","AC",NA,"Sem medida",1
2020-01-24,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-24,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-24,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-24,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-25,"Acre","AC",NA,"Sem medida",1
2020-01-25,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-25,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-25,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-25,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-26,"Acre","AC",NA,"Sem medida",1
2020-01-26,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-26,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-26,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-26,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-27,"Acre","AC",NA,"Sem medida",1
2020-01-27,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-27,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-27,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-27,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-28,"Acre","AC",NA,"Sem medida",1
2020-01-28,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-28,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-28,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-28,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-29,"Acre","AC",NA,"Sem medida",1
2020-01-29,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-29,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-29,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-29,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-30,"Acre","AC",NA,"Sem medida",1
2020-01-30,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-30,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-30,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-30,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-01-31,"Acre","AC",NA,"Sem medida",1
2020-01-31,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-01-31,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-01-31,"Acre","AC",NA,"Dados indisponíveis",NA
2020-01-31,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-01,"Acre","AC",NA,"Sem medida",1
2020-02-01,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-01,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-01,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-01,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-02,"Acre","AC",NA,"Sem medida",1
2020-02-02,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-02,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-02,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-02,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-03,"Acre","AC",NA,"Sem medida",1
2020-02-03,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-03,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-03,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-03,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-04,"Acre","AC",NA,"Sem medida",1
2020-02-04,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-04,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-04,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-04,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-05,"Acre","AC",NA,"Sem medida",1
2020-02-05,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-05,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-05,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-05,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-06,"Acre","AC",NA,"Sem medida",1
2020-02-06,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-06,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-06,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-06,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-07,"Acre","AC",NA,"Sem medida",1
2020-02-07,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-07,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-07,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-07,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-08,"Acre","AC",NA,"Sem medida",1
2020-02-08,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-08,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-08,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-08,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-09,"Acre","AC",NA,"Sem medida",1
2020-02-09,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-09,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-09,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-09,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-10,"Acre","AC",NA,"Sem medida",1
2020-02-10,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-10,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-10,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-10,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-11,"Acre","AC",NA,"Sem medida",1
2020-02-11,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-11,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-11,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-11,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-12,"Acre","AC",NA,"Sem medida",1
2020-02-12,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-12,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-12,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-12,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-13,"Acre","AC",NA,"Sem medida",1
2020-02-13,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-13,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-13,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-13,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-14,"Acre","AC",NA,"Sem medida",1
2020-02-14,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-14,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-14,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-14,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-15,"Acre","AC",NA,"Sem medida",1
2020-02-15,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-15,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-15,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-15,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-16,"Acre","AC",NA,"Sem medida",1
2020-02-16,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-16,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-16,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-16,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-17,"Acre","AC",NA,"Sem medida",1
2020-02-17,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-17,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-17,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-17,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-18,"Acre","AC",NA,"Sem medida",1
2020-02-18,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-18,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-18,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-18,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-19,"Acre","AC",NA,"Sem medida",1
2020-02-19,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-19,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-19,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-19,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-20,"Acre","AC",NA,"Sem medida",1
2020-02-20,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-20,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-20,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-20,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-21,"Acre","AC",NA,"Sem medida",1
2020-02-21,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-21,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-21,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-21,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-22,"Acre","AC",NA,"Sem medida",1
2020-02-22,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-22,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-22,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-22,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-23,"Acre","AC",NA,"Sem medida",1
2020-02-23,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-23,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-23,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-23,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-24,"Acre","AC",NA,"Sem medida",1
2020-02-24,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-24,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-24,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-24,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-25,"Acre","AC",NA,"Sem medida",1
2020-02-25,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-25,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-25,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-25,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-26,"Acre","AC",NA,"Sem medida",1
2020-02-26,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-26,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-26,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-26,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-27,"Acre","AC",NA,"Sem medida",1
2020-02-27,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-27,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-27,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-27,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-28,"Acre","AC",NA,"Sem medida",1
2020-02-28,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-28,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-28,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-28,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-02-29,"Acre","AC",NA,"Sem medida",1
2020-02-29,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-02-29,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-02-29,"Acre","AC",NA,"Dados indisponíveis",NA
2020-02-29,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-01,"Acre","AC",NA,"Sem medida",1
2020-03-01,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-01,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-01,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-01,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-02,"Acre","AC",NA,"Sem medida",1
2020-03-02,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-02,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-02,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-02,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-03,"Acre","AC",NA,"Sem medida",1
2020-03-03,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-03,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-03,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-03,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-04,"Acre","AC",NA,"Sem medida",1
2020-03-04,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-04,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-04,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-04,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-05,"Acre","AC",NA,"Sem medida",1
2020-03-05,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-05,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-05,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-05,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-06,"Acre","AC",NA,"Sem medida",1
2020-03-06,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-06,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-06,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-06,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-07,"Acre","AC",NA,"Sem medida",1
2020-03-07,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-07,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-07,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-07,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-08,"Acre","AC",NA,"Sem medida",1
2020-03-08,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-08,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-08,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-08,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-09,"Acre","AC",NA,"Sem medida",1
2020-03-09,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-09,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-09,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-09,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-10,"Acre","AC",NA,"Sem medida",1
2020-03-10,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-10,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-10,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-10,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-11,"Acre","AC",NA,"Sem medida",1
2020-03-11,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-11,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-11,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-11,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-12,"Acre","AC",NA,"Sem medida",1
2020-03-12,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-12,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-12,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-12,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-13,"Acre","AC",NA,"Sem medida",1
2020-03-13,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-13,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-13,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-13,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-14,"Acre","AC",NA,"Sem medida",1
2020-03-14,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-14,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-14,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-14,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-15,"Acre","AC",NA,"Sem medida",1
2020-03-15,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-15,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-15,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-15,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-16,"Acre","AC",NA,"Sem medida",1
2020-03-16,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-16,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-16,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-16,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-17,"Acre","AC",NA,"Sem medida",1
2020-03-17,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-17,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-17,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-17,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-18,"Acre","AC",NA,"Sem medida",1
2020-03-18,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-18,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-18,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-18,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-19,"Acre","AC",NA,"Sem medida",1
2020-03-19,"Acre","AC",NA,"Recomendado ficar
em casa",NA
2020-03-19,"Acre","AC",NA,"Algumas exceções
podem sair",NA
2020-03-19,"Acre","AC",NA,"Dados indisponíveis",NA
2020-03-19,"Acre","AC",NA,"Sem exceções
para sair",NA
2020-03-20,"Acre","AC","1","Sem medida",NA
2020-03-20,"Acre","AC","1","Recomendado ficar
em casa",1
2020-03-20,"Acre","AC","1","Algumas exceções
podem sair",NA
2020-03-20,"Acre","AC","1","Dados indisponíveis",NA
2020-03-20,"Acre","AC","1","Sem exceções
para sair",NA
2020-03-21,"Acre","AC","1","Sem medida",NA
2020-03-21,"Acre","AC","1","Recomendado ficar
em casa",1
2020-03-21,"Acre","AC","1","Algumas exceções
podem sair",NA
2020-03-21,"Acre","AC","1","Dados indisponíveis",NA
2020-03-21,"Acre","AC","1","Sem exceções
para sair",NA
2020-03-22,"Acre","AC","1","Sem medida",NA
2020-03-22,"Acre","AC","1","Recomendado ficar
em casa",1
2020-03-22,"Acre","AC","1","Algumas exceções
podem sair",NA
2020-03-22,"Acre","AC","1","Dados indisponíveis",NA
2020-03-22,"Acre","AC","1","Sem exceções
para sair",NA
2020-03-23,"Acre","AC","1","Sem medida",NA
2020-03-23,"Acre","AC","1","Recomendado ficar
em casa",1
2020-03-23,"Acre","AC","1","Algumas exceções
podem sair",NA
2020-03-23,"Acre","AC","1","Dados indisponíveis",NA
2020-03-23,"Acre","AC","1","Sem exceções
para sair",NA
2020-03-24,"Acre","AC","1","Sem medida",NA
2020-03-24,"Acre","AC","1","Recomendado ficar
em casa",1
2020-03-24,"Acre","AC","1","Algumas exceções
podem sair",NA
2020-03-24,"Acre","AC","1","Dados indisponíveis",NA
2020-03-24,"Acre","AC","1","Sem exceções
para sair",NA
2020-03-25,"Acre","AC","1","Sem medida",NA
2020-03-25,"Acre","AC","1","Recomendado ficar
em casa",1
2020-03-25,"Acre","AC","1","Algumas exceções
podem sair",NA
2020-03-25,"Acre","AC","1","Dados indisponíveis",NA
2020-03-25,"Acre","AC","1","Sem exceções
para sair",NA
2020-03-26,"Acre","AC","1","Sem medida",NA
2020-03-26,"Acre","AC","1","Recomendado ficar
em casa",1
2020-03-26,"Acre","AC","1","Algumas exceções
podem sair",NA
2020-03-26,"Acre","AC","1","Dados indisponíveis",NA
2020-03-26,"Acre","AC","1","Sem exceções
para sair",NA
2020-03-27,"Acre","AC","1","Sem medida",NA
2020-03-27,"Acre","AC","1","Recomendado ficar
em casa",1
